id,Status,From date,To date,Document name,Date published,Issue Number,Name,Category,Description,Detailed Description,Estimated Impact / Target Audience,Owner
51,Accepted,,,PROFORMA/51/AI,2025-11-20 00:00:00,51.00/324PLN,Mahan's Idea,AI,s desc,d desc,nobody,admin
50,Accepted,2025-11-13 00:00:00,2025-11-23 00:00:00,PROFORMA/19/11/2025,,178.50/257PLN,Project 50: AI-powered Innovation,TRANSPORT,AI-powered drug discovery acceleration platform.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Students, Researchers, Academic institutions",user4
49,Accepted,2025-11-03 00:00:00,2025-11-08 00:00:00,PROFORMA/08/11/2025,,445.35/178PLN,Project 49: Collaborative Innovation,HEALTH,Collaborative research paper annotation tool. Hello this seems to work,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Healthcare providers, Patients, Medical staff",user1
48,Accepted,2025-08-10 00:00:00,2025-08-12 00:00:00,PROFORMA/10/08/2025,,919.63/711PLN,Project 48: Voice-controlled Innovation,Social,Voice-controlled lab equipment interface.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Healthcare providers, Patients, Medical staff",admin
47,Accepted,2025-08-25 00:00:00,2025-09-06 00:00:00,PROFORMA/27/08/2025,,465.20/808PLN,Project 47: Automated Innovation,ENERGY,Automated grant matching service for researchers.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","City residents, Urban planners, Government",user1
46,On Review,2025-10-30 00:00:00,2025-11-05 00:00:00,PROFORMA/04/11/2025,,792.51/232PLN,Project 46: Smart Innovation,HEALTH,Smart building energy management system.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","SMEs, Startups, Tech companies",user2
45,Accepted,2025-09-25 00:00:00,2025-09-29 00:00:00,PROFORMA/25/09/2025,,182.36/403PLN,Project 45: Predictive Innovation,HEALTH,Predictive model for student dropout prevention.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","City residents, Urban planners, Government",admin
44,On Review,2025-09-04 00:00:00,2025-09-16 00:00:00,PROFORMA/05/09/2025,,628.62/792PLN,Project 44: AI-based Innovation,Social,AI-based news fact-checking tool.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Students, Researchers, Academic institutions",user4
43,On Review,2025-07-28 00:00:00,2025-08-04 00:00:00,PROFORMA/04/08/2025,,791.37/621PLN,Project 43: Carbon Innovation,Technology,Carbon footprint calculator for supply chains.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Students, Researchers, Academic institutions",user3
42,Rejected,2025-08-27 00:00:00,2025-08-29 00:00:00,PROFORMA/27/08/2025,,188.46/541PLN,Project 42: Automated Innovation,Social,Automated accessibility checker for web applications.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","City residents, Urban planners, Government",admin
41,On Review,2025-08-10 00:00:00,2025-08-22 00:00:00,PROFORMA/14/08/2025,,477.74/345PLN,Project 41: Virtual Innovation,ENERGY,Virtual career counseling platform with AI guidance.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Engineers, Industrial facilities, Manufacturing",user3
